programa,hilos,tiempo_s,speedup,eficiencia
riemann,1(sec),23.707194,1.0000,1.0000
riemann,1,23.548000,1.0068,1.0068
riemann,2,11.610000,2.0420,1.0210
riemann,4,5.564000,4.2608,1.0652
riemann,8,2.376000,9.9778,1.2472
riemann,16,1.526000,15.5355,0.9710
histograma,1(sec),0.199911,1.0000,1.0000
histograma,1,0.199000,1.0046,1.0046
histograma,2,0.099000,2.0193,1.0097
histograma,4,0.062000,3.2244,0.8061
histograma,8,0.043000,4.6491,0.5811
histograma,16,0.033000,6.0579,0.3786
