programa,hilos,tiempo_s,speedup,eficiencia
riemann,1(sec),3.652844,1.0000,1.0000
riemann,1,3.596157,1.0158,1.0158
riemann,2,1.871003,1.9523,0.9762
riemann,4,0.948320,3.8519,0.9630
riemann,8,0.576099,6.3407,0.7926
riemann,15,0.383692,9.5203,0.6347
histograma,1(sec),0.277001,1.0000,1.0000
histograma,1,0.276054,1.0034,1.0034
histograma,2,0.143926,1.9246,0.9623
histograma,4,0.073995,3.7435,0.9359
histograma,8,0.038228,7.2460,0.9058
histograma,15,0.033109,8.3663,0.5578
